id,name,sex
hp,Harry Potter,1
rw,Ron Wesley,1
hg,Hermine Granger,2
ss,Severus Snape,1
ad,Albus Dumbledore,1
mm,Minerva McGonagall,2
rh,Rubeus Hagrid,1
dm,Draco Malfoy,1
lv,Lord Voldemort,99
